Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
183,NA,Wesleyan,16-8,0.6666666666666666,815.88,,,?,676.41,139.46
184,NA,Massachusetts-C,11-4,0.7333333333333333,812.41,New England,Greater New England Dev,Dev,675.39,137.02
185,NA,Northeastern-B,3-8,0.2727272727272727,810.14,New England,,?,942.31,-132.18
186,NA,Occidental,4-3,0.5714285714285714,809.64,Southwest,Southwest DIII,D-III,696.78,112.85
187,NA,Bryant,15-11,0.5769230769230769,802.93,,,?,792.02,10.91
188,NA,Mary Washington,9-11,0.45,798.38,Atlantic Coast,Northern Atlantic Coast DIII,D-III,984.37,-185.99
189,NA,Wisconsin-Eau Claire,11-11,0.5,798.26,North Central,Lake Superior DI,D-I,811.55,-13.29
190,NA,Illinois State,10-19,0.3448275862068966,796.31,Great Lakes,Illinois DI,D-I,995.95,-199.64
191,NA,Wake Forest,3-9,0.25,791.08,Atlantic Coast,Carolina DI,D-I,1043.06,-251.99
192,NA,Rowan,12-9,0.5714285714285714,788.03,Metro East,Metro NY DI,D-I,750.29,37.74
193,NA,Vermont-C,10-7,0.5882352941176471,786.67,New England,,?,769.4,17.27
194,NA,Western Michigan,4-12,0.25,777.6,Great Lakes,Michigan DI,D-I,964.29,-186.69
195,NA,Georgia College,7-10,0.4117647058823529,775.91,Southeast,Eastern Southeast DIII,D-III,792.93,-17.02
196,NA,Pacific Lutheran,5-6,0.45454545454545453,764.37,Northwest,Northwest DIII,D-III,799.58,-35.22
197,NA,Rice,7-6,0.5384615384615384,764.1,South Central,Texas DIII,D-III,708.79,55.3
198,NA,George Washington,5-11,0.3125,762.77,Atlantic Coast,Colonial DI,D-I,920.81,-158.05
199,NA,Air Force,3-10,0.23076923076923078,762.71,South Central,Rocky Mountain DIII,D-III,970.34,-207.63
200,NA,ETSU,4-2,0.6666666666666666,751.08,,,?,678.59,72.49
201,NA,Baylor,4-5,0.4444444444444444,747.54,South Central,North Texas DI,D-I,806.42,-58.88
202,NA,Spring Hill College,6-7,0.46153846153846156,746.71,,,?,747.9,-1.2
203,NA,Valparaiso,4-7,0.36363636363636365,728.01,Great Lakes,East Plains DIII,D-III,883.8,-155.79
204,NA,Georgia Tech-B,8-8,0.5,726.99,Southeast,Southeast Dev,Dev,623.76,103.23
205,NA,Sam Houston State,6-6,0.5,726.13,South Central,South Texas DI,D-I,713.23,12.9
206,NA,Kenyon,6-11,0.35294117647058826,725.52,Ohio Valley,Ohio DIII,D-III,830.19,-104.67
207,NA,Clemson,5-17,0.22727272727272727,722.7,Atlantic Coast,Carolina DI,D-I,978.95,-256.25
208,NA,Nevada-Reno,8-15,0.34782608695652173,722.46,Southwest,NorCal DI,D-I,749.34,-26.88
209,NA,SUNY-Stony Brook,8-11,0.42105263157894735,715.85,Metro East,Metro NY DI,D-I,860.28,-144.43
210,NA,Vassar,3-2,0.6,715.56,,,?,418.24,297.32
211,NA,Franciscan,4-4,0.5,713.07,Ohio Valley,Ohio DIII,D-III,745.06,-31.99
212,NA,Oregon State-B,2-7,0.2222222222222222,708.48,Northwest,Cascadia DI,Dev,811.82,-103.35
213,NA,Luther,9-12,0.42857142857142855,706.18,North Central,West Plains DIII,D-III,742.95,-36.77
214,NA,Wooster,12-13,0.48,702.25,Ohio Valley,,D-III,688.32,13.93
215,NA,North Carolina-B,5-10,0.3333333333333333,702.02,Atlantic Coast,Southern Atlantic Coast Dev,Dev,953.37,-251.35
216,NA,DePaul,5-13,0.2777777777777778,701.9,Great Lakes,Illinois DI,D-I,849.29,-147.39
217,NA,SUNY-Geneseo,14-9,0.6086956521739131,699.49,Metro East,Western NY DIII,D-III,651.14,48.36
218,NA,Samford,5-7,0.4166666666666667,696.34,Southeast,Western Southeast DIII,D-III,778.48,-82.14
219,NA,Swarthmore,12-9,0.5714285714285714,694.16,Ohio Valley,East Penn DIII,D-III,660.53,33.63
220,NA,Minnesota-B,12-6,0.6666666666666666,693.75,North Central,Northwoods DI,Dev,601.54,92.21
221,NA,Loyola-Chicago,8-9,0.47058823529411764,691.51,Great Lakes,Illinois DI,D-I,714.2,-22.69
222,NA,Florida Gulf Coast,3-5,0.375,690.23,Southeast,Florida DI,D-I,910.85,-220.62
223,NA,Montana,6-5,0.5454545454545454,688.49,Northwest,Big Sky DI,D-I,645.44,43.05
224,NA,Army,9-5,0.6428571428571429,685.65,Metro East,Hudson Valley DIII,D-III,655.86,29.79
225,NA,Wisconsin- La Crosse,4-9,0.3076923076923077,682.12,North Central,Lake Superior DI,D-I,895.1,-212.98
226,NA,San Diego State,1-13,0.07142857142857142,680.1,Southwest,SoCal DI,D-I,1053.57,-373.47
227,NA,Macalester College,9-10,0.47368421052631576,679.73,,,?,740.76,-61.03
228,NA,Maryland-B,9-3,0.75,676.95,Atlantic Coast,Colonial Dev,Dev,446.51,230.45
NA,NA,Wichita State University,0-3,0,673.25,,,?,1186.47,-513.22
229,NA,West Chester,6-12,0.3333333333333333,671.94,Ohio Valley,East Penn DI,D-I,826.18,-154.24
230,NA,North Park,10-4,0.7142857142857143,666.39,Great Lakes,Illinois DIII,D-III,457.24,209.15
231,NA,Messiah,10-10,0.5,664.18,Ohio Valley,West Penn DIII,D-III,642.64,21.54
232,NA,Oklahoma,2-10,0.16666666666666666,660.44,South Central,Ozarks DI,D-I,948.06,-287.62
233,NA,Navy-B,10-4,0.7142857142857143,656.78,Atlantic Coast,,?,499.86,156.92
234,NA,Amherst,9-8,0.5294117647058824,655.72,,,?,769.92,-114.2
235,NA,Vermont-B,8-10,0.4444444444444444,653.78,New England,Greater New England Dev,Dev,705.3,-51.52
236,NA,Shippensburg,9-13,0.4090909090909091,652.75,Ohio Valley,West Penn DIII,D-III,694.72,-41.97
237,NA,Grove City,8-6,0.5714285714285714,647.85,Ohio Valley,,D-III,680.13,-32.28
238,NA,George Mason,2-11,0.15384615384615385,645.39,Atlantic Coast,Virginia DI,D-I,980.35,-334.96
239,NA,Radford,7-10,0.4117647058823529,639.15,,,?,663.69,-24.54
240,NA,Dartmouth-B,6-5,0.5454545454545454,634.41,New England,Greater New England Dev,Dev,691.79,-57.37
241,NA,Cal Poly-SLO-B,10-3,0.7692307692307693,632.84,Southwest,Southwest Dev,D-I,396.67,236.17
NA,NA,Harding,1-1,0.5,629.49,,,?,815.07,-185.58
242,NA,Drexel,3-15,0.16666666666666666,625.81,Ohio Valley,East Penn DI,D-I,903.81,-278
243,NA,Elon,5-10,0.3333333333333333,624.96,Atlantic Coast,Carolina DIII,D-III,863.08,-238.12
244,NA,California-Irvine,6-6,0.5,622.19,Southwest,SoCal DI,D-I,797.91,-175.71
245,NA,IUPUI,2-6,0.25,619.21,,,?,770.99,-151.78
246,NA,Syracuse,5-11,0.3125,613.87,Metro East,Western NY DI,D-I,738.32,-124.46
247,NA,SUNY-Albany,12-13,0.48,612.9,Metro East,Hudson Valley DI,D-I,732.97,-120.07
248,NA,Worcester Polytechnic Institute,13-12,0.52,611.08,,,?,661.4,-50.32
249,NA,St John's,12-11,0.5217391304347826,610.8,,,?,671.63,-60.84
250,NA,Texas-B,6-7,0.46153846153846156,609.58,South Central,Texas DI,D-I,679.55,-69.97
251,NA,Wright State,4-7,0.36363636363636365,606.03,Ohio Valley,Ohio DI,D-I,735.2,-129.17
252,NA,New Hampshire,0-9,0,602.58,New England,Greater New England Dev,D-I,957.74,-355.16
253,NA,St. Thomas,2-8,0.2,596.7,North Central,Northwoods DIII,D-III,739.66,-142.96
254,NA,Central Connecticut State,1-5,0.16666666666666666,594.24,,,?,1005.02,-410.78
255,NA,Creighton,3-9,0.25,584.65,,,?,833.67,-249.01
256,NA,Penn State-B,16-14,0.5333333333333333,583.9,Ohio Valley,Ohio Valley Dev,Dev,482.96,100.94
257,NA,Alabama-B,3-8,0.2727272727272727,566.95,Southeast,Southeast Dev,Dev,721.39,-154.44
258,NA,California-B,6-6,0.5,542.24,Southwest,Southwest Dev,Dev,476.78,65.46
259,NA,Minnesota-Duluth,6-10,0.375,538.52,North Central,Northwoods DI,D-I,617.05,-78.53
260,NA,Colorado Mesa,2-7,0.2222222222222222,535.51,South Central,Rocky Mountain DI,D-I,848.68,-313.17
261,NA,Texas-Arlington,3-3,0.5,533.74,South Central,North Texas DI,D-I,544.82,-11.08
262,NA,Pittsburgh-B,7-7,0.5,532.82,Ohio Valley,,?,485.29,47.52
263,NA,Northern Iowa,5-7,0.4166666666666667,530.43,North Central,West Plains DI,D-I,652.58,-122.15
264,NA,Wisconsin-B,9-12,0.42857142857142855,524.67,North Central,North Central Dev,Dev,615.29,-90.62
NA,NA,Ball State,0-4,0,511.99,Great Lakes,East Plains DI,D-I,1013.93,-501.93
NA,NA,Dallas,2-2,0.5,511.53,South Central,Texas DIII,D-III,534.14,-22.61
265,NA,Cal Poly Humboldt,3-9,0.25,508.74,,,?,782.37,-273.63
266,NA,East Carolina,5-6,0.45454545454545453,504.16,Atlantic Coast,Carolina DI,D-I,492.42,11.74
267,NA,Colby,1-7,0.125,503.92,New England,North New England DIII,D-III,861.87,-357.95
268,NA,James Madison-B,11-6,0.6470588235294118,503.34,Atlantic Coast,Southern Atlantic Coast Dev,Dev,387.8,115.54
269,NA,Oklahoma State University,1-4,0.2,500.56,,,?,791.43,-290.87
270,NA,North Texas,5-10,0.3333333333333333,500.12,South Central,North Texas DI,D-I,613.55,-113.43
271,NA,Cedarville,5-9,0.35714285714285715,498.09,Ohio Valley,Ohio DIII,D-III,663.41,-165.31
272,NA,Winona State,0-5,0,482.21,North Central,Northwoods DIII,D-III,882.94,-400.72
273,NA,Rose-Hulman,1-9,0.1,480.09,,,?,791.65,-311.56
274,NA,Georgia Southern,1-16,0.058823529411764705,479.62,Southeast,Southern Appalachian DI,D-I,862.26,-382.64
NA,NA,New Mexico,0-4,0,464.76,Southwest,Desert DI,D-I,1014.51,-549.75
275,NA,College of New Jersey,7-9,0.4375,459.33,Metro East,Metro NY DIII,D-III,517.04,-57.71
276,NA,Connecticut-B,13-4,0.7647058823529411,457.84,Metro East,Metro East Dev,Dev,294.41,163.42
277,NA,Villanova,3-3,0.5,447.31,Ohio Valley,East Penn DI,D-I,192.5,254.81
278,NA,Eastern Michigan,4-8,0.3333333333333333,447.05,,,?,619.41,-172.36
279,NA,Hofstra,3-14,0.17647058823529413,445.61,Metro East,Metro NY DI,D-I,642,-196.39
280,NA,Southern California-B,10-9,0.5263157894736842,445.42,Southwest,Southwest Dev,Dev,355.67,89.75
281,NA,North Carolina State-B,4-12,0.25,432.72,Atlantic Coast,,?,592.56,-159.84
282,NA,High Point,0-13,0,423.59,Atlantic Coast,Carolina DIII,D-III,890.29,-466.69
